id,customer_id,employee_id,order_date,required_date,shipped_date,ship_via,freight,ship_name,ship_address,ship_city,ship_region,ship_postal_code,ship_country
10248,VINET,5,2012-07-04,2012-08-01,2012-07-16,3,16.75,"Vins et alcools Chevalier","59 rue de l'Abbaye",Reims,"Western Europe",51100,France
10249,TOMSP,6,2012-07-05,2012-08-16,2012-07-10,1,22.25,"Toms Spezialitäten","Luisenstr. 48","Münster","Western Europe",44087,Germany
10250,HANAR,4,2012-07-08,2012-08-05,2012-07-12,2,25,"Hanari Carnes","Rua do Paço, 67","Rio de Janeiro","South America",05454-876,Brazil
10251,VICTE,3,2012-07-08,2012-08-05,2012-07-15,1,20.25,"Victuailles en stock","2, rue du Commerce",Lyon,"Western Europe",69004,France
10252,SUPRD,4,2012-07-09,2012-08-06,2012-07-11,2,36.25,"Suprêmes délices","Boulevard Tirou, 255",Charleroi,"Western Europe",B-6000,Belgium
10253,HANAR,3,2012-07-10,2012-07-24,2012-07-16,2,35.5,"Hanari Carnes","Rua do Paço, 67","Rio de Janeiro","South America",05454-876,Brazil
10254,CHOPS,5,2012-07-11,2012-08-08,2012-07-23,2,24.25,"Chop-suey Chinese","Hauptstr. 31",Bern,"Western Europe",3012,Switzerland
10255,RICSU,9,2012-07-12,2012-08-09,2012-07-15,3,37.5,"Richter Supermarkt","Starenweg 5","Genève","Western Europe",1204,Switzerland
10256,WELLI,3,2012-07-15,2012-08-12,2012-07-17,2,16.75,"Wellington Importadora","Rua do Mercado, 12",Resende,"South America",08737-363,Brazil
10257,HILAA,4,2012-07-16,2012-08-13,2012-07-22,3,21.5,HILARION-Abastos,"Carrera 22 con Ave. Carlos Soublette #8-35","San Cristóbal","South America",5022,Venezuela
10258,ERNSH,1,2012-07-17,2012-08-14,2012-07-23,1,40.25,"Ernst Handel","Kirchgasse 6",Graz,"Western Europe",8010,Austria
10259,CENTC,4,2012-07-18,2012-08-15,2012-07-25,3,12.75,"Centro comercial Moctezuma","Sierras de Granada 9993","México D.F.","Central America",05022,Mexico
10260,OTTIK,4,2012-07-19,2012-08-16,2012-07-29,1,35.5,"Ottilies Käseladen","Mehrheimerstr. 369","Köln","Western Europe",50739,Germany
